rank,ranking-institution-title,ranking-institution-title href,location,overall,resources,engagement,outcomes,enviroment
66,Northeastern University,https://www.timeshighereducation.com/world-university-rankings/northeastern-university#ranking-dataset/634830,Massachusetts,72.2,18.7,17.4,30.1,6
66,Vassar College,https://www.timeshighereducation.com/world-university-rankings/vassar-college#ranking-dataset/634830,New York,72.2,23.4,16,26.2,6.6
69,Ohio State University,https://www.timeshighereducation.com/world-university-rankings/ohio-state-university#ranking-dataset/634830,Ohio,72.1,16.2,17.2,33.5,5.3
70,Lafayette College,https://www.timeshighereducation.com/world-university-rankings/lafayette-college#ranking-dataset/634830,Pennsylvania,72,22.6,15.8,29.9,3.7
71,Tulane University,https://www.timeshighereducation.com/world-university-rankings/tulane-university#ranking-dataset/634830,Louisiana,71.8,24.6,16.8,25.8,4.6
71,University of Wisconsin-Madison,https://www.timeshighereducation.com/world-university-rankings/university-wisconsin-madison#ranking-dataset/634830,Wisconsin,71.8,15.9,17.2,34.4,4.2
73,Washington and Lee University,https://www.timeshighereducation.com/world-university-rankings/washington-and-lee-university#ranking-dataset/634830,Virginia,71.4,23.6,15.6,29.5,2.6
74,Barnard College,https://www.timeshighereducation.com/world-university-rankings/barnard-college#ranking-dataset/634830,New York,71.3,20.8,16.1,27.5,6.9
75,Grinnell College,https://www.timeshighereducation.com/world-university-rankings/grinnell-college#ranking-dataset/634830,Iowa,71,23.2,15.2,26.1,6.4
75,University of Pittsburgh,https://www.timeshighereducation.com/world-university-rankings/university-pittsburgh#ranking-dataset/634830,Pennsylvania,71,18.4,16.5,31.4,4.7
77,Mount Holyoke College,https://www.timeshighereducation.com/world-university-rankings/mount-holyoke-college#ranking-dataset/634830,Massachusetts,70.9,22.1,16.4,25.4,7
78,Macalester College,https://www.timeshighereducation.com/world-university-rankings/macalester-college#ranking-dataset/634830,Minnesota,70.8,22.1,15.8,27.3,5.6
79,Trinity University,https://www.timeshighereducation.com/world-university-rankings/trinity-university#ranking-dataset/634830,Texas,70.6,22.5,17,24.8,6.3
80,Michigan State University,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university#ranking-dataset/634830,Michigan,70.5,15.8,17.3,31.6,5.8
81,Southern Methodist University,https://www.timeshighereducation.com/world-university-rankings/southern-methodist-university#ranking-dataset/634830,Texas,70.4,20.7,17.1,27.1,5.6
82,"University of Maryland, College Park",https://www.timeshighereducation.com/world-university-rankings/university-maryland-college-park#ranking-dataset/634830,Maryland,70.3,13.1,16.7,34,6.5
83,Worcester Polytechnic Institute,https://www.timeshighereducation.com/world-university-rankings/worcester-polytechnic-institute#ranking-dataset/634830,Massachusetts,70.2,20,16.3,28.6,5.3
84,Denison University,https://www.timeshighereducation.com/world-university-rankings/denison-university#ranking-dataset/634830,Ohio,70,21.6,16.2,26.7,5.5
84,Drexel University,https://www.timeshighereducation.com/world-university-rankings/drexel-university#ranking-dataset/634830,Pennsylvania,70,20.3,17,25.7,6.9
84,College of the Holy Cross,https://www.timeshighereducation.com/world-university-rankings/college-holy-cross#ranking-dataset/634830,Massachusetts,70,21.3,15.8,29.3,3.6
87,Brandeis University,https://www.timeshighereducation.com/world-university-rankings/brandeis-university#ranking-dataset/634830,Massachusetts,69.9,21.8,15.7,26.4,5.9
87,Rensselaer Polytechnic Institute,https://www.timeshighereducation.com/world-university-rankings/rensselaer-polytechnic-institute#ranking-dataset/634830,New York,69.9,18.8,15,29.5,6.6
89,Franklin and Marshall College,https://www.timeshighereducation.com/world-university-rankings/franklin-and-marshall-college#ranking-dataset/634830,Pennsylvania,69.6,22.3,15.3,27.5,4.4
89,University of Washington,https://www.timeshighereducation.com/world-university-rankings/university-washington#ranking-dataset/634830,Washington,69.6,17.6,16.7,27.9,7.4
91,Occidental College,https://www.timeshighereducation.com/world-university-rankings/occidental-college#ranking-dataset/634830,California,69.5,20.4,14.9,27.3,6.9
92,Union College,https://www.timeshighereducation.com/world-university-rankings/union-college#ranking-dataset/634830,New York,69.3,21.6,15.2,28.8,3.7
93,Scripps College,https://www.timeshighereducation.com/world-university-rankings/scripps-college#ranking-dataset/634830,California,69.1,22.4,15.6,24.5,6.7
93,Texas A&M University,https://www.timeshighereducation.com/world-university-rankings/texas-am-university#ranking-dataset/634830,Texas,69.1,14.6,17.9,30.9,5.8
93,Trinity College,https://www.timeshighereducation.com/world-university-rankings/trinity-college#ranking-dataset/634830,Connecticut,69.1,22.2,15.5,26.2,5.2
96,University of Denver,https://www.timeshighereducation.com/world-university-rankings/university-denver#ranking-dataset/634830,Colorado,68.6,19.8,16.3,27.3,5.2
96,Kenyon College,https://www.timeshighereducation.com/world-university-rankings/kenyon-college#ranking-dataset/634830,Ohio,68.6,22,15.7,27.3,3.6
98,Bentley University,https://www.timeshighereducation.com/world-university-rankings/bentley-university#ranking-dataset/634830,Massachusetts,68.3,17.3,15.9,29.3,5.8
99,"University of California, Santa Barbara",https://www.timeshighereducation.com/world-university-rankings/university-california-santa-barbara#ranking-dataset/634830,California,68.1,14,16.5,30,7.6
100,William & Mary,https://www.timeshighereducation.com/world-university-rankings/william-mary#ranking-dataset/634830,Virginia,68,17.8,15.6,30.1,4.5
101,Spelman College,https://www.timeshighereducation.com/world-university-rankings/spelman-college#ranking-dataset/634830,Georgia,67.9,17.8,15.9,28.4,5.8
102,Connecticut College,https://www.timeshighereducation.com/world-university-rankings/connecticut-college#ranking-dataset/634830,Connecticut,67.8,22.1,15.4,25.9,4.4
102,Rhode Island School of Design,https://www.timeshighereducation.com/world-university-rankings/rhode-island-school-design#ranking-dataset/634830,Rhode Island,67.8,20.6,14.9,26.6,5.7
104,Howard University,https://www.timeshighereducation.com/world-university-rankings/howard-university#ranking-dataset/634830,District of Columbia,67.5,21.5,16.2,23.8,6.1
105,University of Connecticut,https://www.timeshighereducation.com/world-university-rankings/university-connecticut#ranking-dataset/634830,Connecticut,67.4,18,16.5,27,5.9
105,Saint Louis University,https://www.timeshighereducation.com/world-university-rankings/saint-louis-university#ranking-dataset/634830,Missouri,67.4,20.7,16.2,25.7,4.8
105,The College of Wooster,https://www.timeshighereducation.com/world-university-rankings/college-wooster#ranking-dataset/634830,Ohio,67.4,19.7,16.4,26.6,4.7
108,Syracuse University,https://www.timeshighereducation.com/world-university-rankings/syracuse-university#ranking-dataset/634830,New York,67.2,15.7,17,28.5,6
109,DePauw University,https://www.timeshighereducation.com/world-university-rankings/depauw-university#ranking-dataset/634830,Indiana,67.1,21,15.9,25,5.2
110,Gettysburg College,https://www.timeshighereducation.com/world-university-rankings/gettysburg-college#ranking-dataset/634830,Pennsylvania,67,21.4,15.8,26.6,3.2
111,University of Illinois at Chicago,https://www.timeshighereducation.com/world-university-rankings/university-illinois-chicago#ranking-dataset/634830,Illinois,66.7,17.7,16,24.8,8.1
111,Rose-Hulman Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/rose-hulman-institute-technology#ranking-dataset/634830,Indiana,66.7,18.8,15.2,28.9,3.9
113,Brigham Young University-Provo,https://www.timeshighereducation.com/world-university-rankings/brigham-young-university-provo#ranking-dataset/634830,Utah,66.6,12.9,17.9,33.7,2.1
113,Dickinson College,https://www.timeshighereducation.com/world-university-rankings/dickinson-college#ranking-dataset/634830,Pennsylvania,66.6,20.6,15.2,27.1,3.7
115,Pitzer College,https://www.timeshighereducation.com/world-university-rankings/pitzer-college#ranking-dataset/634830,California,66.5,20.2,16.7,22.6,7
115,Wheaton College (Massachusetts),https://www.timeshighereducation.com/world-university-rankings/wheaton-college-massachusetts#ranking-dataset/634830,Massachusetts,66.5,21.5,16.1,23.7,5.2
117,University at Buffalo,https://www.timeshighereducation.com/world-university-rankings/university-buffalo#ranking-dataset/634830,New York,66.4,19.7,15.8,23.5,7.4
117,University of the Pacific,https://www.timeshighereducation.com/world-university-rankings/university-pacific#ranking-dataset/634830,California,66.4,18.3,15.9,24.5,7.7
119,Yeshiva University,https://www.timeshighereducation.com/world-university-rankings/yeshiva-university#ranking-dataset/634830,New York,66.3,23.8,13.8,25,3.8
120,Colorado College,https://www.timeshighereducation.com/world-university-rankings/colorado-college#ranking-dataset/634830,Colorado,66.1,22,16.2,22.1,5.8
120,Villanova University,https://www.timeshighereducation.com/world-university-rankings/villanova-university#ranking-dataset/634830,Pennsylvania,66.1,18.8,16.2,27.9,3.3
122,University of Minnesota,https://www.timeshighereducation.com/world-university-rankings/university-minnesota-0#ranking-dataset/634830,Minnesota,66,15.5,17,28.4,5.1
123,Babson College,https://www.timeshighereducation.com/world-university-rankings/babson-college#ranking-dataset/634830,Massachusetts,65.8,15.7,15.2,28.7,6.2
123,Virginia Polytechnic Institute and State University,https://www.timeshighereducation.com/world-university-rankings/virginia-polytechnic-institute-and-state-university#ranking-dataset/634830,Virginia,65.8,14,17.3,29.9,4.6
